Equity issue, day of week, description (from line)
1895-05-09, yesterday,  One of the saddest of the many end oe ourrenoee which ere oontinusllj taking place around us ears the Pembroke Observer was the terrible accident which be fel Mrs. Josephs Gabel an aged and pected ladv yesterday evening Gebel resided in the East ward and went down to the lake shore the afternoon be Ing very warm. The 0. P. R. track skirts the lake along the ward the curve at Cecelia and Peter streets being very considerable. When Mrs. Gebel was returning the five o'clock train came around the curve. She may have seen the train and hastened to get across the track before its approach. But she was struck by the engine and killed. Mrs. Gebel had nearly completed her 84th year.
1895-05-09, unlucky day,  A German itatlstlolan has figured out that Mondayand not Friday le the real unlucky day.
1895-05-09, that day,  of the same rights and privileges as are He paid a compliment to the Minister of eider the important bearing it must have had been informed that day by cattle enjoyed by and conferred on the Grand Finance in regard to hie elevation to the I on the country. Lit them understand that dealers that the Government had reduced
1895-05-09, hottest day,  The vast plain w.iich extends 2000 miles from east to wear and 1000 from north to south has a temperature of 150 degrees Fahrenheit in the hottest days of summer. This is about the temperature of the hot room in the Turkish bath. It is said that
1895-05-09, Friday,  .JL 	Speech on Friday afternoon
Binary file 1895-05-09,  matches
1895-05-16, Thuraday,  I* iiiued from the office of Publication at Shawville every Thuraday.
1895-05-16, a day,  on at the very low rate of 25 cent for	Change Of Tim#.	Iron a day er two subsequent W the ace 9th . -The investigstion made into
1895-05-16, Birthday,  The Woodstock Amateur Athletic A elation will have a ntw track ready for the Queen's Birthday meet.
1895-05-16, Thursday,  Bruckville board meeting held last Thursday the general sentiment appeared to be against making the provisions of the bill before Parliament compulsory. The question evidently has more sides than a Iret sight would suggest and it may bo the course of wisdom to hasten slowly in
1895-05-16, ten day,  not so definite. Other information kowever is to the effect that the last ten days have sent vegetation forward with a roll. Generally it may be said the foundation has been laid for expecting a
1895-05-16, Thumday,  On Thumday May Bth at 891 Kent HU Ob tawa the wife uf I)uvld It. McKarlioli df a daughter.
1895-05-16, Monday,  On Monday April 20th on road somewhere between Campbell's Bay and Hhawville a light overcoat of daik grey color. Pockets contained two pairs of kid gloves. The finder will he suitably rewaidcd by leaving the goal at W. Kelly h hotel VV. Ci*ike's or with die owner. Gen. Ilyre\ *1 Shawville.
1895-05-16, every day,  The meeting of Lha two women whoee picture# are here given show# that everyday life furnishes experiences as thrilling as those that come to us only in our wildest dreams. And the fact that much meetings occur every day points a moral that every woman in the land should take to heart. Here was a woman in ths prime of life pursued by that sentinel which seeks its victim among her eei alone.
1895-05-16, wildunearthly day,  Suddenly I was aroused by a wildunearthly daylight she almost fainted foHMjjMM
1895-05-16, to day,  After recess lion. John Haggart replied to the financial critic of the Oupoai lion in a remarkably clear logical and argumentative speech in which he took ep the objections raised by Sir Richard aad skilfully butted thorn. Mr. Haggart ha* not until the last year or two been accustomed to make anything like a set speech in the House generally content ing himself with brief replies to qties lions relating to his department but re* cently he has paid more attention to debate and to day he showed a grasp of hie subject a readiness of resource and a carefulness in preparation which stamped him ass far better debater than he has been credited with being. His review of Bir Richard as finance minister was cx Calient and his defence of the National policy was a most effective reply to the pessimistic wailings of Sir Richard. The debate was continued by Mr. Patterson (Brsnt) in a characteristic speechand the l adjournment of the debate was moved by t Hon. Mr. Dickey.
1895-05-16, Saturday,  ing the absurd contention that the House Jos. Andrews the young Should not have been summoned for busi- shot near Cartier on Saturday April 20th
Binary file 1895-05-16,  matches
1895-05-23, others day,  lace. And yet we hear people talking the purpose of providing a days en- St. Pauls Church Shawville Thurs UNION HOUSE	about hard times.	tertainment for the visitors and others day May 2.3-Ascension Day-Holy
1895-05-23, Sunday,  -T . . urn.t.i	village y the lake.	tawa Endeavor Societies will give an	ing Prayer 10 30	; Evening Prayer 0 30	some Sunday to be hereafter designated
1895-05-23, few day,  SI L tnntiM h HALL*	A few days ago Mr. L. E.	Parsons of	exhibition of drilling. If the weather is	p-m.	are to be given toward the Cemetery 1m-
1895-05-23, Tuesday,  Clarendon Front Tuesday May 28 7 p m.
1895-05-23, Sunday,  11 order at once and secure your choice. | "lowing Sunday morning
1895-05-23, Fri day,  Intelligence was recoivod here on Fri day of .the death on the previous after
1895-05-23, 60 day,  day tour In summer weather and with the foundation for substantial fortunes. The figures se to area and quantities are Philomene Wright built hie first saw and . twenly B|10wer bathe in the bsiemeut summer in their hearts. They had not Not the least prosperous among them spprogmale I ocnsider it extremely 1 grist mills in 1808; they wereunfortunately   ^ crec'sd in the congested district of entered into the serious business of was Richard Ingiefleld ft merchant *	. #a Lu****	a# ennd bunted down but were rebuilt in 60 days. Uew v()rk
1895-05-23, latter day,  tion ; perhaps it is best not to take I lundieil >^^rs back in which st>mv> | a provincial park an enormous reserve near things too seriously. Nature teaches I >r> people o? both sexes found a j Like Nipisemg thirteen hundred square the philosophy of enjoyment and sl * sting place for the latter days of miles ot which nine hundred are pine long as It is innocent there is but little I ber l^e* They were poor pensioners. | timber equaled on one of the chief natural w adorn in turning a churlish face upon ?i*ateful for any trifle and Rachel's j watersheds of the province. But a great the pleasures she	offers with so liberal |	kindness endeared her to them ; but I deal more than this is necessary if the
1895-05-23, their day,  their holiday tour to fill their days | ter. He w as kind to Rachel in his I	about as follows :
1895-05-23, Saturday,  Guelph's water main burst in the East Botanic Gardens in Washington has held Ward on Saturday and the city watei- the place for forty-three years supply was completely shut eft.	The journal of Commerce eetimatee the
1895-05-23, one day,  The C. P.K. station at MacLeodN. W.T. Ejjia |iiwn(it New York on Saturday. This entered by burglars on Saturday night le largest arrival in one day since June and about one thousand dollars secured. J ^
1895-05-23, Monday,  treasurer estima 10a a larger deficit for nex-t The Texas State Treasury when it yar	closed on Monday night was announced
1895-05-23, Thursday,  launched on Thursday.
1895-05-23, other day,  Mr. Devlm'a eulogy in Parliament the __....p_________ ______ __ _ other day of the late Mr. Mercier has
1895-05-23, the day,  So the day was fixed upon when Kate Liiburue was lobe restored to rea onhealth and happiness or was to depart without further delay to that land toward which we and daughters of a mortal race are all
1895-05-23, few day,  brother had not rescued her.	for a few days she lingered in great pain
1895-05-23, one day,  what she believed would be her tomb. who will bear hie name and one day will By this time a servant came to say that succeed to his title and the old peer is if Miss Grace was conscious but would not possible more proud of the tiny boy than leave her room again that night though are his fond parfiite.
1895-05-23, Thursday,  The Ottawa Journal of Thursday last
Binary file 1895-05-23,  matches
1895-05-30, pleasant day,  _  We had some very pleasant days until sleep too descended upon her. SanU Crus OaL was for eight months together Basil Penrhyn and I; but Rachel coming quietly Into the room about 1850a veritable king of the Canoi* "Papa said Rachel earnestly " yov circumstances parted us. He went half an hour afterward found them bal Islands. He was shipwrecked on have been very generous with your	one way	and I another and I	have	both in peaceful slumber and she left	0f the Nouth Sea Islands was almost
1895-05-30, eight day,  Several examples of the suooesaful treat* ment of erysipelas and puerpural eepticaemi have recently been reported by Roger in France. The antitoxin# serum is obtained from horses which have been inoculated with the poison of streptococci and made proof against it. M. Roger reports that a grave case of puerpural septicaemia wae cured by the inoculations in a short time the patient leaving the hospital eight days *fter the tiret application of the remedy.
1895-05-30, one day,  ence for at least one day at the encampment reached the ground he naturally lets go. ie necessary. The encampment take* place Instantly he falls itackwaide and cracks the week before Faster and the regular | hie own shell on the ground.
1895-05-30, the day,  Shocks were felt at SienaPisa Placentia that blocks the canal's mouth. Long before and Bologna concurrent with those in this midnight the fireworks have gone out and city. The Prince of Naples remained all left the splendid stare to themselves ; the day at Graeeina.	grandees have all gone to bed but the peo-
